 	 	"Akvaariumi valgus - cmd"	"1/0/7"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Köögi laevalgus A - cmd"	"1/0/8"	""	""	""	""	"Auto"
 	 	"Köögi laevalgus B - cmd"	"1/0/9"	""	""	""	""	"Auto"
 	 	"Koridori valgus otsas - cmd"	"1/0/10"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Koridori maalivalgus - cmd"	"1/0/11"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Trepivalgus - cmd"	"1/0/12"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Tuulekoja valgus - cmd"	"1/0/13"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Tagaukse kohal valgus - cmd"	"1/0/14"	""	""	""	"DPST-1-1"	"Auto"
 	 	"WC valgus - cmd"	"1/0/15"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Elutoa valgus laes - cmd"	"1/0/16"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Elutoa valgus seinal - cmd"	"1/0/17"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Köögilaua valgus - state"	"1/0/100"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Basseini lae fiiber - state"	"1/0/101"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Basseini lae valgus - state"	"1/0/102"	""	""	""	"DPST-1-11"	"Auto"
 	 	"Vasaku garaaži töölaua valgus - state"	"1/0/103"	""	""	""	"DPST-1-11"	"Auto"
 	 	"Garaaži valgus A - state"	"1/0/104"	""	""	""	"DPST-1-11"	"Auto"
 	 	"Garaaži valgus B - state"	"1/0/105"	""	""	""	"DPST-1-11"	"Auto"
 	 	"Numbri valgus - state"	"1/0/106"	""	""	""	"DPST-1-11"	"Auto"
 	 	"Akvaariumi valgus - state"	"1/0/107"	""	""	""	"DPST-1-11"	"Auto"
 	 	"Köögi laevalgus A - state"	"1/0/108"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Köögi laevalgus B - state"	"1/0/109"	""	""	""	""	"Auto"
 	 	"Koridori valgus otsas - state"	"1/0/110"	""	""	""	"DPST-1-11"	"Auto"
 	 	"Koridori maalivalgus - state"	"1/0/111"	""	""	""	"DPST-1-11"	"Auto"
 	 	"Trepivalgus - state"	"1/0/112"	""	""	""	"DPST-1-11"	"Auto"
 	 	"Tuulekoja valgus - state"	"1/0/113"	""	""	""	"DPST-1-11"	"Auto"
 	 	"Tagaukse kohal valgus - state"	"1/0/114"	""	""	""	"DPST-1-11"	"Auto"
 	 	"WC valgus - state"	"1/0/115"	""	""	""	"DPST-1-11"	"Auto"
 	 	"Elutoa valgus laes - state"	"1/0/116"	""	""	""	"DPST-1-11"	"Auto"
 	 	"Elutoa valgus seinal - state"	"1/0/117"	""	""	""	"DPST-1-11"	"Auto"
 	"Tehno"	 	"1/1/-"	""	""	""	""	"Auto"
 	 	"Elutoa pistikupesad - cmd"	"1/1/0"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Köögi pistikud A - cmd"	"1/1/1"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Väiselekter - cmd"	"1/1/2"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Köögi pistikud B - cmd"	"1/1/3"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Talveaia pistikud A - cmd"	"1/1/4"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Talveaia pistikud B - cmd"	"1/1/5"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Talveaia pistikud C - cmd"	"1/1/6"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Elutoa pistikupesad - state"	"1/1/100"	""	""	""	"DPST-1-11"	"Auto"
 	 	"Köögi pistikud A - state"	"1/1/101"	""	""	""	"DPST-1-11"	"Auto"
 	 	"Väiselekter - state"	"1/1/102"	""	""	""	"DPST-1-11"	"Auto"
 	 	"Köögi pistikud B - state"	"1/1/103"	""	""	""	"DPST-1-11"	"Auto"
 	 	"Talveaia pistikud A - state"	"1/1/104"	""	""	""	"DPST-1-11"	"Auto"
